Word,Definition
Abstruse,Difficult to understand; obscure.
Alacrity,Brisk and cheerful readiness.
Capricious,Given to sudden and unaccountable changes of mood or behavior.
Demagogue,A political leader who seeks support by appealing to popular desires rather than by using rational argument.
Ephemeral,Lasting for a very short time.
Esoteric,Intended for or likely to be understood by only a small number of people with specialized knowledge.
Exculpate,Show or declare that (someone) is not guilty of wrongdoing.
Impetuous,Acting or done quickly and without thought or care.
Intransigent,Unwilling or refusing to change one's views or to agree about something.
Obfuscate,"Render obscure, unclear, or unintelligible."
Penurious,Extremely poor; poverty-stricken.
Recalcitrant,Having an obstinately uncooperative attitude toward authority or discipline.
Sycophant,A person who acts obsequiously toward someone important in order to gain advantage.
Trepidation,A feeling of fear or agitation about something that may happen.
Ubiquitous,"Present, appearing, or found everywhere."
