word,definition
maroon,"A dark brownish-red color."
flamboyant,"Tending to attract attention due to exuberance, confidence, and stylishness."
blackball,"To vote against someone’s membership or involvement, often secretly."
blue,"A color often associated with sadness or melancholy; also the color itself."
outlandish,"Looking or sounding bizarre or unfamiliar."
ruddy,"Having a healthy red color, often used to describe complexion."
purple,"A color associated with royalty, luxury, and sometimes extravagance."
sinister,"Giving the impression that something harmful or evil is happening or will happen."
frugal,"Sparing or economical with regard to money or food."
magnanimous,"Generous or forgiving, especially toward a rival or less powerful person."
munificent,"Larger or more generous than is usual or necessary."
miserly,"Hoarding wealth and spending as little money as possible; stingy."
parsimonious,"Unwilling to spend money or use resources; extremely frugal."
largesse,"Generosity in bestowing money or gifts upon others."
economical,"Giving good value or service in relation to the amount of money, time, or effort spent."
hedonist,"A person who believes that the pursuit of pleasure is the most important thing in life."
prodigal,"Spending money or resources freely and recklessly; wastefully extravagant."
sybarite,"A person who is self-indulgent in their fondness for sensuous luxury."
spendthrift,"A person who spends money in an extravagant, irresponsible way."
profligate,"Recklessly extravagant or wasteful in the use of resources."
epicurean,"Devoted to the pursuit of pleasure, especially in food and comfort."
hamstrung,"Severely restricted or crippled in ability or effectiveness."
aquiline,"Like an eagle; typically used to describe a hooked or curved nose."
sanguine,"Optimistic or positive, especially in a bad or difficult situation."
choleric,"Bad-tempered or irritable."
bilious,"Affected by or associated with nausea or vomiting; also irritable or sickly."
sartorial,"Relating to tailoring, clothes, or style of dress."
narcissist,"A person with an excessive interest in or admiration of themselves."
herculean,"Requiring great strength or effort."
chimera,"A thing that is hoped or wished for but is illusory or impossible to achieve."
elysian,"Relating to or characteristic of heaven or paradise."
apollonian,"Relating to the rational, ordered, and self-disciplined aspects of human nature."
dionysian,"Relating to the sensual, spontaneous, and emotional aspects of human nature."
cherub,"A winged angelic being, often depicted as a chubby child with wings."
sublime,"Of such excellence, grandeur, or beauty as to inspire great admiration or awe."
cosmogony,"A theory or story of the origin and development of the universe."
ethereal,"Extremely delicate and light in a way that seems too perfect for this world."
seraphic,"Characteristic of or resembling a seraph; angelic or heavenly."
theodicy,"An explanation of why a benevolent and omnipotent God permits evil in the world."
empyrean,"Relating to the highest heaven or the celestial sphere."
numinous,"Having a strong religious or spiritual quality; indicating the presence of divinity."
cleave,"To split or sever; or, to cling to firmly and closely—depending on context."
sanction,"An official permission or approval; or, a penalty for disobeying a law—depending on context."
buckle,"To bend or collapse under pressure; or, to fasten something securely."
resign,"(1) To voluntarily leave a job or position. (2)To accept something undesirable as inevitable (alternate meaning)."
re-sign,"To sign again, especially a contract or agreement."
naive,"Lacking experience, wisdom, or judgment; overly trusting."
ingenuous,"Innocent and unsuspecting; showing childlike honesty."
subterfuge,"Deceit used to achieve one’s goal."
conniving,"Secretly planning or involved in wrongdoing."
disingenuous,"Not candid or sincere; pretending to know less than one does."
simplicity,"The quality of being easy to understand or do; lack of complexity."
mendacious,"Not telling the truth; lying."
legerdemain,"Skillful use of one's hands when performing tricks; sleight of hand."
savant,"A learned person, especially one with detailed knowledge in a specialized field."
neophyte,"A beginner or someone new to a subject or activity."
polymath,"A person with wide-ranging knowledge in many subjects."
novice,"A person new to and inexperienced in a job or situation."
maven,"An expert or connoisseur in a particular field."
greenhorn,"An inexperienced or naive person."
sagacious,"Having or showing good judgment; wise."
tyro,"A beginner or novice in a field."
destitute,"Lacking the basic necessities of life; extremely poor."
affluent,"Having a great deal of money; wealthy."
cupidity,"Greed for money or possessions."
lavish,"Sumptuously rich, elaborate, or luxurious."
opulent,"Ostentatiously rich and luxurious or lavish."
avarice,"Extreme greed for wealth or material gain."
penurious,"Extremely poor; poverty-stricken or miserly."
impecunious,"Having little or no money."
muckraker,"A journalist who exposes corruption or scandal, especially in politics or business."
incumbent,"The current holder of a political office."
gerrymander,"To manipulate electoral boundaries to favor one party or class."
canvas,"To solicit votes or opinions; also, a surface for painting."
inaugurate,"To begin formally or officially; to induct into office."
barnstorm,"To travel widely for political campaigning or entertainment, especially in rural areas."
mudslinging,"The use of insults or accusations to damage an opponent’s reputation."
interregnum,"A period between reigns or governments, especially when normal governance is suspended."
partisan,"A strong supporter of a party, cause, or person, often showing bias."
filibuster,"An action such as prolonged speech that obstructs progress in a legislative assembly."
demagogue,"A political leader who seeks support by appealing to popular desires rather than rational argument."
lame duck,"An outgoing official with diminished power, especially after a successor is elected."
politico,"A politician, often used informally or pejoratively."
apparatchik,"A loyal member of a political organization, especially in a bureaucratic role."
plenary,"Unqualified; absolute; or a meeting attended by all participants."
insurrection,"A violent uprising against an authority or government."
quell,"To suppress or put an end to something, especially by force."
foment,"To stir up or incite trouble or rebellion."
insurgency,"An active revolt or uprising."
agitate,"To stir up public concern or trouble; to disturb or excite emotionally."
seditious,"Inciting or causing people to rebel against the authority of a state or monarch."
subversive,"Seeking or intended to undermine the power and authority of an established system."
advent,"The arrival or beginning of a notable person, thing, or event."
scapegoat,"A person who is blamed for the faults or wrongdoings of others."
epiphany,"A sudden and profound realization or insight."
adultery,"Voluntary sexual intercourse between a married person and someone who is not their spouse."
atonement,"Reparation for a wrong or sin."
pestilence,"A deadly and widespread disease or plague."
leviathan,"A huge sea monster; something very large and powerful."
chortle,"To laugh in a breathy, gleeful way; a blend of chuckle and snort."
irreverent,"Showing a lack of respect for people or things that are generally taken seriously."
sardonic,"Grimly mocking or cynical."
parody,"A humorous or satirical imitation of a serious piece of literature or writing."
guffaw,"A loud and boisterous laugh."
wry,"Dryly humorous, often with a touch of irony or sarcasm."
uproarious,"Extremely funny or noisy with laughter and commotion."
flippant,"Not showing a serious or respectful attitude."
grave,"Serious or solemn in manner or appearance."
lament,"To mourn or express sorrow, often aloud."
decorum,"Behavior in keeping with good taste and propriety."
dirge,"A mournful song, piece of music, or poem for the dead."
propriety,"Conformity to accepted standards of behavior or morals."
disconsolate,"Without comfort; extremely unhappy or hopeless."
elegiac,"Relating to or characteristic of an elegy; mournful or sorrowful."
obscure,"Not clearly expressed or easily understood; unknown or uncertain."
illustrious,"Well known, respected, and admired for past achievements."
nonentity,"A person or thing with no special or interesting qualities; unimportant."
notoriety,"The state of being famous or well-known for a bad quality or deed."
fanfare,"A short ceremonial tune or flourish; or elaborate public display or celebration."
snub,"To ignore or spurn disdainfully."
cipher,"A person or thing of no importance; a secret or disguised way of writing."
irresolute,"Showing or feeling hesitancy; uncertain."
obdurate,"Stubbornly refusing to change one’s opinion or course of action."
acquiesce,"To accept something reluctantly but without protest."
insubordinate,"Defiant of authority; disobedient to orders."
impressionable,"Easily influenced, especially because of a lack of critical ability."
amenable,"Open and responsive to suggestion; easily persuaded or controlled."
pliant,"Easily bent or influenced; flexible."
intransient,"Not subject to change; enduring or permanent."
ruthless,"Having or showing no pity or compassion for others."
scrupulous,"Very concerned to avoid doing wrong; diligent and attentive to detail."
nefarious,"Wicked, villainous, or criminal."
irreproachable,"Beyond criticism; faultless."
incorruptible,"Not susceptible to corruption, especially by bribery."
diabolical,"Characteristic of the Devil; outrageously wicked."
torpitude,"(Likely meant 'turpitude') Depraved or wicked behavior or character."
kowtow,"To act in an excessively subservient manner; to bow deeply in respect."
imperious,"Assuming power or authority without justification; arrogant and domineering."
supercilious,"Behaving or looking as though one thinks they are superior to others."
deferential,"Showing respect and submission to the wishes or opinion of others."
impudent,"Not showing due respect for another person; impertinent."
haughty,"Arrogantly superior and disdainful."
peremptory,"Insisting on immediate attention or obedience, often in a brusque way."

